"district","block","cluster","schoolid","schoolname","category","gender","medium_of_inst","address","area","pincode","landmark","identification1","busroutes","identification2","latlong"
"bangalore","south-1","vajara halli","32868","GKHPS ALAHALLI","Upper Primary","co-ed","kannada","avalahalli south range- 1","bangalore","560062","masjid","","","","POINT(77.5766623020172 12.8893003120716)"
"bangalore","north-4","yelehanka new town","32894","GKLPS RAMAGONDANAHALLI","Lower Primary","co-ed","kannada","","","560064","near ramgondahallibus stop","","","","POINT(77.5755786895751 13.1124160477745)"
"bangalore","north-1","madanayakanahalli","33292","GKHPS SRIKANTAPURA","Upper Primary","co-ed","kannada","","bangalore","560073","opposite oxford public school","","","","POINT(77.4805855751038 13.0531625182782)"
"bangalore","south-2","chamarajpet","32136","GTHPS BELIMUTT","Upper Primary","co-ed","tamil","belimutt road bangalore- 53","bangalore","560053","bakshigarden arch near super talkies","","","","POINT(77.5700211524963 12.9664198482966)"
"bangalore","south-4","doddakanneli","32190","GKLPS SULIKUNTE","Lower Primary","co-ed","kannada","Dommasandra Post","Sulikunte","562125","Opposite Ashwath Katte","Cream Colour Buidling","342 A-Z","Cream Colour Compound","POINT(77.72833 12.88868)"
"bangalore","south-4","thanisandra","32790","GKHPS THANISANDRA","Model Primary","co-ed","kannada","Shivarama Karath Nagar Post","Thani Sandra","560077","Near Thani Sandra Bus Stop","","290J","Cream Colour Building","POINT(77.62906 13.05562)"
"bangalore","south-4","varthur","32910","GKHPS HARLOOR","Lower Primary","co-ed","kannada","H.S.R Layout Post","Haraluru","560102","Opposite Kasavanahalli Lake","Cream Colour Building","341 A","Playground","POINT(77.66536 12.90339)"
"bangalore","south-4","immadihalli","33336","GKLPS PATTANDUR AGRAHARA","Lower Primary","co-ed","kannada","Whitefield Post","Patanduru","560066","Near Booming Bakery & Sweets","No Painted Compound & Play Ground","","Pink Colour Building","POINT(77.73331 12.98134)"
"bangalore","north-2","hebbal","32028","GKLPS VISHWANATH NAGENAHALLI","Lower Primary","co-ed","kannada","","Vishwanath Nagenahalli","560036","Nedar Sant Paul Hermit Church","Green Colour Compound","","Compound Out Side Play Ground","POINT(77.60529 13.04072)"
"bangalore","south-1","mallathahalli","32967","GKHPS JNANABHARATHI","Lower Primary","co-ed","kannada","","","560056","","","","","POINT(77.5030088424683 12.9603138960767)"
"bangalore","south-1","mallathahalli","32969","GKHPS MUTTURAYANA NAGARA","Upper Primary","co-ed","kannada","","","560060","railway track","","","","POINT(77.5003480911255 12.9608575828283)"
"bangalore","south-3","domlur","33128","GKLPS ASHOKNAGAR","Lower Primary","co-ed","kannada","johnson market ashok nagar","bangalore","560025","near m.g.road","","","","POINT(77.6190948486328 12.971229225731)"
"bangalore","north-1","kamakshipalya","32359","GKMPS AGRAHARA DASARAHALLI","Model Primary","co-ed","kannada","jai munirao circle magadi main road agrahara dasarahalli","bangalore","560079","jai munirao circle  bus stop","","","","POINT(77.544207572937 12.9794258633969)"
"bangalore","anekal","sarjapura","32948","GKHPS NARASAPURA","Upper Primary","co-ed","kannada","attibele post anekal taluk","bangalore","562107","arali mara","","","","POINT(77.8002939813 12.8003122409)"
"bangalore","south-4","hoodi","32297","GKLPS SEETHARAM PALYA","Lower Primary","co-ed","kannada","Mahadevapura Post","Sitharampalya","560048","Opposite Anjaneya Swamy Temple","Cream Colour Compound","","","POINT(77.71731 12.98239)"
"bangalore","north-3","vasanthnagar","33141","GKLPS RAJBHAVAN ROAD","Lower Primary","co-ed","kannada","Raj Bhavan","Shivaji Nagar","560051","Near Raj Bhavan Bus Stop","White Colour Building","0","0","POINT(77.59 12.98)"
"bangalore","south-2","chamarajpet","32132","GUHPBS JJR NAGAR","Upper Primary","co-ed","urdu","gori palya","bangalore","560018","charch  goripalya","","","","POINT(77.5579619407654 12.964642446154)"
"bangalore","north-2","malleswaram","33172","GKMPS JAKKARAYANAKERE","Model Primary","co-ed","kannada","railway gata form road jakkaryankare","","560020","krisna floor mill","","","","POINT(77.5693559646606 12.9962783047982)"
"bangalore","north-1","chikkabidarakallu","32160","GULPS PAILVANARAPALYA","Lower Primary","co-ed","urdu","","bangalore","560058","near masjied","","","","POINT(77.5009918212891 13.0380072151692)"
"bangalore","anekal","hennagra","33439","GKHPS YARENDAHALLI","Upper Primary","co-ed","kannada","yarandahalli hennagara post anekal tq","bangalore","999999","left side small scale industries right state petrol bank","","","","POINT(77.6645069404 12.8081304978)"
"bangalore","south-3","yellukunte","32646","GKMPS AGARA","Model Primary","co-ed","kannada","sarjapura main road","bangalore","560102","","","","","POINT(77.6508951187134 12.922754816988)"
"bangalore","north-4","rajanakunte","32776","GKLPS KUDUREGERE","Lower Primary","co-ed","kannada","","bangalore","562157","bus stan","","","","POINT(77.6016712188721 13.1071496443589)"
"bangalore","north-3","oph road","32611","GUHPS LATHIFIA","Upper Primary","co-ed","urdu","Cock Burn Road","Shivaji Nagar","560051","Near Shivaji Nagar Bus Stop","No Painted Compound","","Rose Colour Building And Play Ground","POINT(77.60379 12.98769)"
"bangalore","north-1","heggnahalli","32272","GKLPS BEGGARS COLONY","Lower Primary","co-ed","kannada","Magadi Main Road Viahwaneedam Post Bangalore","Beggars Colony","560091","Opposite Beggars Colony","Yellow Colour Bulding & Blue Colour Door","242252243265","Infrount Play Ground & Sheet Bulding","POINT(77.51826 12.99064)"
"bangalore","north-2","hebbal","32026","GKLPS GUDDADAHALLI (HEBBAL)","Lower Primary","co-ed","kannada","","bangalore","560032","near guddadahalli circle","","","","POINT(77.6041603088379 13.0429824377664)"
"bangalore","north-4","byatarayanapura","32183","GULPS JAKKUR LAYOUT","Lower Primary","co-ed","urdu","","bangalore","560064","near masjid","","","","POINT(77.6121854782104 13.0786840380405)"
"bangalore","north-4","hunasamaranahalli","32484","GKHPS HUNASEMARENAHALLI","Upper Primary","co-ed","kannada","hunasamaranahalli out post bangalore north","bangalore","562157","air fort road devanahalli","","","","POINT(77.6030445098876 13.1068988604321)"
"bangalore","south-3","byarsandra","32143","GKHPS 4TH T BLOCK JAYANAGAR","Upper Primary","co-ed","kannada","","bangalore","560041","opp jai bharath tent","","","","POINT(77.5932168960571 12.9189065741804)"
"bangalore","north-4","hesarghatta","32375","GKLPS KOLUVARAYANAHALLI","Lower Primary","co-ed","kannada","kakolu post hesarghatta hubli","bangalore","560089","near koluvarayanahalli bus stop","","","","POINT(77.5662231445312 13.0882565399287)"
"bangalore","north-4","hesarghatta","32374","GKLPS HAROHALLI PALYA","Lower Primary","co-ed","kannada","","","560089","seethakempanahalliroad","","","","POINT(77.5705146789551 13.0863755099504)"
"bangalore","south-2","chamarajpet","32134","GUMPS CHAMARAJPET","Model Primary","co-ed","urdu","","bangalore","560018","masjid  school","","","","POINT(77.5662660598755 12.960899404837)"
"bangalore","north-4","yelehanka old town","32936","GKHPS YELAHANKA BEO OFFICE","Upper Primary","co-ed","kannada","","bangalore","560064","","","","","POINT(77.5891828536987 13.1011307595859)"
